17;[15, 20[;[10, 20[;[0, 20[;[0, 40[;[0, 80[;[0, 100[
18;[15, 20[;[10, 20[;[0, 20[;[0, 40[;[0, 80[;[0, 100[
19;[15, 20[;[10, 20[;[0, 20[;[0, 40[;[0, 80[;[0, 100[
20;[20, 25[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
21;[20, 25[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
22;[20, 25[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
23;[20, 25[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
24;[20, 25[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
25;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
26;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
27;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
28;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
29;[25, 30[;[20, 30[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
30;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
31;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
32;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
33;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
34;[30, 35[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
35;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
36;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
37;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
38;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
39;[35, 40[;[30, 40[;[20, 40[;[0, 40[;[0, 80[;[0, 100[
40;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
41;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
42;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
43;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
44;[40, 45[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
45;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
46;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
47;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
48;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
49;[45, 50[;[40, 50[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
50;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
51;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
52;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
53;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
54;[50, 55[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
55;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
56;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
57;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
58;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
59;[55, 60[;[50, 60[;[40, 60[;[40, 80[;[0, 80[;[0, 100[
60;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
61;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
62;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
63;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
64;[60, 65[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
65;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
66;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
67;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
68;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
69;[65, 70[;[60, 70[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
70;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
71;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
72;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
73;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
74;[70, 75[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
75;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
76;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
77;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
78;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
79;[75, 80[;[70, 80[;[60, 80[;[40, 80[;[0, 80[;[0, 100[
80;[80, 85[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
81;[80, 85[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
82;[80, 85[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
83;[80, 85[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
84;[80, 85[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
85;[85, 90[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
86;[85, 90[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
87;[85, 90[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
88;[85, 90[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
89;[85, 90[;[80, 90[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
91;[90, 95[;[90, 100[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
92;[90, 95[;[90, 100[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
94;[90, 95[;[90, 100[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
95;[95, 100[;[90, 100[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
98;[95, 100[;[90, 100[;[80, 100[;[80, 100[;[80, 100[;[0, 100[
